"","Mark","JD","bd_load","log_bd_load"
"526",1773,162,2850.714577,7.95567569833529
"527",1777,159,1715.830189,7.44823495618129
"528",1779,92,0,0
"529",1781,168,340329.4865,12.7376724436053
"530",1782,163,17935.38754,9.79458675190278
"531",1783,188,514.3308558,6.2448091328351
"532",1788,138,5472346.949,15.515218323434
"533",1788,142,1222895.56,14.016732832188
"534",1788,166,33253.50517,10.4119455307401
"535",1790,168,82252.49123,11.3175611142921
"536",1791,162,347.5952959,5.85391163873211
"537",1797,140,2122.312417,7.66073260914314
"538",1812,159,29535.40326,10.2933787903784
"539",1818,191,0,0
"540",1821,166,6842.956246,8.83112124194665
"541",1824,155,12129.36379,9.40346699241995
"542",1836,155,31943.06923,10.3717418159709
"543",1836,167,1815673.625,14.4119676508348
"544",1836,188,13379.94045,9.50158661895505
"545",1842,162,1136.127964,7.03626103271242
"546",1846,99,727.5768333,6.59109308788449
"547",1846,167,35744.37089,10.4841760541438
"548",1849,155,159952.8245,11.9826404556889
"549",1851,106,0,0
"550",1858,104,0,0
"551",1864,155,238785.4689,12.3833249959974
"552",1865,69,0,0
"553",1871,77,0,0
"554",1876,163,20554.1667,9.93086760924801
"555",1877,99,0,0
"556",1878,138,0,0
"557",1881,166,244382.4661,12.4064938530091
"558",1882,134,145.7952313,4.98903863132036
"559",1886,78,0,0
"560",1890,134,0,0
"561",1890,162,48803.92739,10.7955865578506
"562",1891,190,0,0
"563",1893,77,0,0
"564",1895,80,0,0
"565",1896,187,2400.907669,7.7840185626838
"566",1901,167,75484.87179,11.2317007891171
"567",1902,134,0,0
"568",1906,78,0,0
"569",1910,134,43.73282572,3.8007075882641
"570",1914,77,0,0
"571",1918,134,23.68408156,3.206158564618
"572",1920,99,0,0
"573",1920,141,2097.868398,7.64915362038008
"574",1922,77,0,0
"575",1926,134,7993.175483,8.98646849086921
"576",1926,191,0,0
"577",1933,80,0,0
"578",1940,134,1223.729174,7.11047501608752
"579",1940,190,3123.276544,8.04695802944887
"580",1942,167,6777.983784,8.82158248533488
"581",1944,77,0,0
"582",1946,80,0,0
"583",1947,166,286239.398,12.5645872891832
"584",1952,80,0,0
"585",1959,75,0,0
"586",1965,142,15105.40896,9.62287436719329
"587",1972,80,0,0
"588",1972,190,2450.495026,7.80445333212737
"589",1975,80,0,0
"590",1976,167,36857.44341,10.5148400005437
"591",1989,155,802045.6272,13.594922023812
"592",1989,168,90055.41215,11.408191554621
"593",1989,189,21854.20304,9.99219429757684
"594",2001,155,183432.7885,12.1196090557505
"595",2001,189,2048.425373,7.62531472698577
"596",2008,167,266.2926514,5.58834413081036
"597",2013,155,138531.1384,11.8388576239004
"598",2013,166,341723.8194,12.7417610705256
"599",2013,189,18181.49857,9.80821479338164
"600",2016,80,0,0
"601",2018,190,66.54416743,4.21278171619274
"602",2019,189,0,0
"603",2025,190,0,0
"604",2030,155,20317.43131,9.91928369940137
"605",2035,162,1400.498126,7.24529703346517
"606",2037,160,777.2944741,6.65710495397868
"607",2037,190,0,0
"608",2053,166,1753.656633,7.47002846604562
"609",2059,75,0,0
"610",2069,141,1002.243547,6.91099357703065
"611",2069,167,1337.082593,7.19899296748259
"612",2072,155,112918.1462,11.6344273212336
"613",2072,168,105623.6268,11.5676468313988
"614",2072,187,5427.780513,8.59946980446414
"615",2078,104,0,0
"616",2082,77,0,0
"617",2086,104,0,0
"618",2086,191,62.16063483,4.14568124047689
"619",2088,141,160936.8228,11.9887733755858
"620",2088,189,0,0
"621",2094,85,0,0
"622",2101,187,0,0
"623",2102,75,0,0
"624",2108,104,0,0
"625",2108,190,0,0
"626",2112,140,8859.457418,9.08935366958025
"627",2115,166,69274.08258,11.1458405617911
"628",2116,85,0,0
"629",2117,138,698.9048835,6.5509444450965
"630",2117,188,0,0
"631",2120,163,265.3868833,5.5849497005922
"632",2123,166,14043.20754,9.5499653150202
"633",2124,85,0,0
"634",2131,166,349257.3136,12.7635670809876
"635",2141,166,42789.50692,10.6640715560338
"636",2145,166,303929.3336,12.6245537883364
"637",2146,85,0,0
"638",2150,140,0,0
"639",2154,141,11253.40662,9.32851503049388
"640",2170,142,972.6389672,6.88104056470147
"641",2173,69,0,0
"642",2173,162,326.472722,5.79140476000331
"643",2177,80,0,0
"644",2177,166,490707.0942,13.1036047171529
"645",2193,134,0,0
"646",2193,162,377.2136118,5.93545914658674
"647",2197,77,0,0
"648",2201,104,0,0
"649",2201,170,24140.32003,10.0916801754266
"650",2201,190,8799.290781,9.08254004321583
"651",2204,77,0,0
"652",2207,77,0,0
"653",2215,134,0,0
"654",2216,163,35.81751854,3.60597377918293
"655",2219,77,0,0
"656",2222,166,18045.72252,9.80071936943444
"657",2223,85,83.72278081,4.43938452429083
"658",2234,160,360133.1161,12.794231785777
"659",2240,140,2770.282277,7.92706540795336
"660",2240,168,52531.14793,10.869180602699
"661",2242,163,9772.896147,9.18747045233882
"662",2245,160,244.882573,5.50485407643826
"663",2245,190,0,0
"664",2262,160,539.0919193,6.29173934599831
"665",2268,190,0,0
"666",2273,160,59184.41535,10.9884304281888
"667",2281,166,11532.88739,9.35304471081922
"668",2282,85,0,0
"669",2290,166,294349.4151,12.5925262246813
"670",2291,85,0,0
"671",2295,92,0,0
"672",2296,92,0,0
"673",2298,80,0,0
"674",2305,166,7548.487179,8.92923491662492
"675",2306,85,0,0
"676",2306,104,0,0
"677",2306,162,6254.303483,8.74118494018926
"678",2314,166,52962.47083,10.8773577252837
"679",2314,188,9400.574327,9.14863243583036
"680",2317,162,227.0428994,5.42953376651862
"681",2322,166,6471.071946,8.77525157517839
"682",2323,78,0,0
"683",2323,134,124.475521,4.83211068775393
"684",2331,166,215730.7276,12.2817909128909
"685",2332,162,8091.822869,8.99873288231685
"686",2336,189,0,0
"687",2339,80,0,0
"688",2339,138,772.541948,6.65097989995829
"689",2340,167,277217.0701,12.5325597321242
"690",2340,187,2131.00755,7.66481932655526
"691",2345,166,56006.15688,10.93323476298
"692",2346,78,25388.84789,10.1421046837395
"693",2353,80,0,0
"694",2354,188,11892.01918,9.38370688343931
"695",2358,80,0,0
"696",2363,80,0,0
"697",2364,168,450025.6339,13.0170620464395
"698",2366,163,424.9891342,6.0544138393713
"699",2370,142,3203.025712,8.07216333312484
"700",2371,191,0,0
"701",2373,69,0,0
"702",2373,135,30.91514277,3.4630805921431
"703",2373,191,0,0
"704",2377,80,0,0
"705",2380,80,0,0
"706",2381,168,52138.85508,10.8616849080437
"707",2381,191,0,0
"708",2389,160,0,0
"709",2400,160,5461.171151,8.60560163640175
"710",2409,191,1215.418545,7.10366620149429
"711",2411,160,23507.21324,10.065105138646
"712",2414,75,0,0
"713",2428,160,6194.920158,8.73164631539821
"714",2429,139,104834.8492,11.5601510648947
"715",2429,167,107584.9706,11.5860455334506
"716",2429,191,2136.824087,7.66754380896694
"717",2459,142,10090.96557,9.21949489814197
"718",2468,188,227.3525425,5.4308906737928
"719",2473,188,0,0
"720",2474,135,0,0
"721",2474,187,176.6851149,5.18001296631726
"722",2485,188,173.7006024,5.16307366533098
"723",2491,85,0,0
"724",2512,187,0,0
"725",2524,189,0,0
"726",2530,191,66.45353752,4.21143902783149
"727",2532,140,2017.945091,7.61033042180631
"728",2546,166,245885.859,12.4126267863534
"729",2551,168,31553.65138,10.3594762859459
"730",2553,142,416.9570786,6.0353787444774
"731",2557,189,1851.911403,7.52451341240619
"732",2568,163,351.6454195,5.86546307477074
"733",2574,155,143821.6968,11.8763365476975
"734",2580,134,0,0
"735",2586,155,4241.212081,8.35284012939587
"736",2588,169,19121.83853,9.8586386342685
"737",2592,134,5238.815564,8.56404157898571
"738",2592,163,3394.030934,8.13006815158604
"739",2598,155,565815.6504,13.2460253654831
"740",2603,75,0,0
"741",2603,99,0,0
"742",2609,166,5814.505393,8.66828297312799
"743",2612,169,7688.656373,8.94763137658581
"744",2613,141,72214.34248,11.187407802029
